nama_provinsi,tahun,kemiskinan,pengeluaran,ipm,hls
KALIMANTAN TENGAH,2023,5.11,11.878,72.2,12.76
KALIMANTAN SELATAN,2023,4.29,12.953,72.5,12.86
KALIMANTAN TIMUR,2023,6.11,13.202,78.2,14.02
KALIMANTAN UTARA,2023,6.45,9.734,72.49,13.2
SULAWESI UTARA,2023,7.38,11.497,74.36,12.96
SULAWESI TENGAH,2023,12.41,10.149,70.95,13.33
SULAWESI SELATAN,2023,8.7,11.841,73.46,13.54
SULAWESI TENGGARA,2023,11.43,10.117,72.79,13.7
GORONTALO,2023,15.15,11.069,70.45,13.16
SULAWESI BARAT,2023,11.49,9.718,67.55,12.88
MALUKU,2023,16.42,9.278,70.94,14.08
MALUKU UTARA,2023,6.46,8.834,70.21,13.74
PAPUA BARAT,2023,20.49,8.404,66.66,13.34
PAPUA,2023,26.03,7.562,62.25,11.15
